From Class,To Class,CommuCost
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account,30
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService,46
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.ItemMapper,322
org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Item,406
org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Product,13
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.ProductMapper,41
org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product,408
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.CategoryMapper,31
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.domain.Category,15
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.AccountActionBean,186
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.domain.Account,3
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.service.OrderService,6
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.OrderMapper,6
org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order,3
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Cart,4
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.CartItem,1
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.Item,10
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.domain.Order,3
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.CartActionBean,2
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Account,2
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Cart,2
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Item,6
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.LineItem,9
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.CartItem,3
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Item,3
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.service.AccountService,4
org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.mapper.AccountMapper,4
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account,2
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.service.CatalogService,4
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.service.CatalogService,2
org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.persistence.DaoConfig,2
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.persistence.DaoConfig,1
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,2
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.domain.Item,1
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.SequenceMapper,4
org.mybatis.jpetstore.mapper.SequenceMapper,org.mybatis.jpetstore.domain.Sequence,12
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.Order,4
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.ItemMapper,4
org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Order,8
org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.LineItem,3
org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.LineItem,6
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,4
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.persistence.DaoConfig,2
org.mybatis.jpetstore.persistence.DaoConfig,org.mybatis.jpetstore.mapper.BaseSqlMapDao,12
org.mybatis.jpetstore.persistence.DaoConfig,org.mybatis.jpetstore.mapper.ItemMapper,2
org.mybatis.jpetstore.persistence.DaoConfig,org.mybatis.jpetstore.mapper.SequenceMapper,2
org.mybatis.jpetstore.persistence.DaoConfig,org.mybatis.jpetstore.mapper.AccountMapper,2
org.mybatis.jpetstore.persistence.DaoConfig,org.mybatis.jpetstore.mapper.CategoryMapper,2
org.mybatis.jpetstore.persistence.DaoConfig,org.mybatis.jpetstore.mapper.ProductMapper,2
org.mybatis.jpetstore.persistence.DaoConfig,org.mybatis.jpetstore.mapper.OrderMapper,2
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.LineItem,2
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.CartItem,1
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Item,1
